                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
21,1.2951,0.92981,0.9604,0.46212,0.36534,0.4145,0.23419,1.2184,0.87052,0.93236,0.00934,0.00934,0.00934
22,1.285,0.92281,0.95754,0.4764,0.35794,0.4154,0.23551,1.2089,0.86592,0.92941,0.009307,0.009307,0.009307
23,1.2824,0.91774,0.9563,0.47965,0.35766,0.41825,0.23844,1.2057,0.86716,0.92919,0.009274,0.009274,0.009274
24,1.2705,0.90412,0.95298,0.48732,0.36072,0.421,0.24022,1.1994,0.86068,0.9268,0.009241,0.009241,0.009241
25,1.2645,0.89534,0.95286,0.49528,0.37078,0.42968,0.24595,1.1954,0.86072,0.92662,0.009208,0.009208,0.009208
26,1.2548,0.88639,0.94988,0.4848,0.37895,0.43366,0.24744,1.1889,0.84578,0.92301,0.009175,0.009175,0.009175
27,1.2516,0.88018,0.9478,0.47911,0.3782,0.43292,0.24759,1.1797,0.83792,0.9238,0.009142,0.009142,0.009142
28,1.2506,0.87897,0.94765,0.48419,0.38108,0.43607,0.25225,1.1744,0.83467,0.9217,0.009109,0.009109,0.009109
29,1.2396,0.86501,0.94573,0.50048,0.37935,0.43961,0.25141,1.174,0.83202,0.92057,0.009076,0.009076,0.009076
30,1.2333,0.85895,0.94421,0.50313,0.38539,0.44256,0.25297,1.1749,0.82454,0.92099,0.009043,0.009043,0.009043
31,1.225,0.85139,0.94223,0.50273,0.3728,0.43628,0.25039,1.1799,0.82956,0.92189,0.00901,0.00901,0.00901
32,1.2384,0.8587,0.9454,0.50837,0.38349,0.44877,0.25898,1.1661,0.81911,0.91923,0.008977,0.008977,0.008977
33,1.227,0.84844,0.94323,0.5038,0.38369,0.44969,0.26148,1.1574,0.81598,0.91633,0.008944,0.008944,0.008944
34,1.2173,0.84023,0.93837,0.51302,0.38132,0.45038,0.26166,1.1592,0.8147,0.9172,0.008911,0.008911,0.008911
