                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2097,                 1.6183,                 1.3279,                0.49511,                0.35241,                0.36113,                0.24121,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     37,                 1.2126,                 1.6309,                 1.3325,                0.50663,                0.34927,                0.36262,                0.24219,                    nan,                    nan,                    nan,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.2112,                 1.6242,                 1.3292,                0.50789,                0.35059,                0.36407,                 0.2434,                    nan,                    nan,                    nan,              0.0092674,              0.0092674,              0.0092674
                     39,                  1.209,                 1.6158,                 1.3261,                 0.5126,                0.35036,                0.36536,                0.24441,                    nan,                    nan,                    nan,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.2044,                 1.6039,                 1.3226,                0.51538,                0.34987,                0.36682,                0.24524,                    nan,                    nan,                    nan,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.2017,                 1.5982,                 1.3199,                0.50797,                 0.3553,                 0.3689,                0.24676,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     42,                 1.2012,                 1.5875,                 1.3158,                0.51707,                0.35083,                 0.3697,                0.24765,                    nan,                    nan,                    nan,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1965,                 1.5792,                 1.3118,                0.51566,                0.35279,                0.37119,                0.24854,                    nan,                    nan,                    nan,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.1948,                 1.5672,                 1.3097,                0.50826,                0.35788,                0.37207,                0.24954,                    nan,                    nan,                    nan,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.1891,                 1.5629,                  1.306,                0.51477,                0.35842,                0.37306,                0.25053,                    nan,                    nan,                    nan,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.1891,                  1.559,                 1.3051,                0.52036,                0.35836,                0.37461,                0.25164,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     47,                 1.1873,                 1.5531,                 1.3033,                0.51033,                0.36249,                0.37551,                0.25224,                    nan,                    nan,                    nan,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.1843,                 1.5476,                 1.3019,                0.51262,                 0.3643,                0.37713,                 0.2531,                    nan,                    nan,                    nan,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.1834,                 1.5377,                 1.2989,                 0.5162,                0.36388,                0.37843,                0.25406,                    nan,                    nan,                    nan,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.1815,                 1.5384,                 1.2987,                0.51208,                0.36771,                0.37991,                0.25513,                    nan,                    nan,                    nan,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.1776,                 1.5225,                 1.2944,                0.52572,                0.36312,                0.38108,                0.25587,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     52,                 1.1776,                 1.5196,                 1.2936,                0.52902,                0.36238,                 0.3823,                0.25676,                    nan,                    nan,                    nan,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.1756,                 1.5154,                 1.2901,                0.53477,                0.36067,                0.38334,                0.25766,                    nan,                    nan,                    nan,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.1716,                 1.5079,                 1.2887,                0.52833,                0.36477,                0.38426,                 0.2583,                    nan,                    nan,                    nan,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.1715,                 1.5065,                 1.2877,                0.52005,                 0.3708,                0.38504,                0.25897,                    nan,                    nan,                    nan,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.1708,                 1.5033,                 1.2858,                0.52524,                0.37042,                0.38612,                0.25966,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     57,                 1.1661,                 1.4991,                 1.2843,                0.52184,                0.37356,                0.38719,                0.26058,                    nan,                    nan,                    nan,              0.0088912,              0.0088912,              0.0088912
                     58,                  1.168,                 1.4931,                 1.2807,                0.52676,                0.37381,                 0.3884,                 0.2616,                    nan,                    nan,                    nan,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.1656,                 1.4891,                 1.2803,                0.52865,                0.37389,                0.38891,                0.26205,                    nan,                    nan,                    nan,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.1616,                  1.482,                 1.2792,                0.52998,                0.37455,                0.38953,                 0.2626,                    nan,                    nan,                    nan,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.1612,                  1.477,                 1.2769,                 0.5292,                0.37769,                 0.3913,                0.26386,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     62,                 1.1622,                 1.4768,                 1.2778,                0.53232,                0.37754,                0.39269,                0.26468,                    nan,                    nan,                    nan,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.1614,                 1.4743,                 1.2755,                0.53387,                0.37838,                0.39346,                0.26528,                    nan,                    nan,                    nan,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.1588,                 1.4728,                 1.2738,                0.53773,                0.37776,                0.39443,                0.26595,                    nan,                    nan,                    nan,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.1575,                 1.4651,                 1.2721,                0.53879,                0.37876,                0.39493,                0.26625,                    nan,                    nan,                    nan,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.1572,                 1.4628,                 1.2703,                0.54228,                0.37769,                0.39504,                0.26645,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     67,                 1.1539,                 1.4577,                 1.2685,                0.54305,                0.37813,                0.39572,                0.26715,                    nan,                    nan,                    nan,              0.0086932,              0.0086932,              0.0086932
                     68,                  1.154,                 1.4586,                 1.2684,                0.54265,                0.38059,                0.39654,                0.26798,                    nan,                    nan,                    nan,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.1527,                 1.4516,                 1.2657,                0.54966,                0.37778,                 0.3973,                0.26841,                    nan,                    nan,                    nan,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.1511,                  1.444,                 1.2648,                0.55043,                0.37778,                0.39779,                0.26855,                    nan,                    nan,                    nan,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.1504,                 1.4466,                 1.2648,                0.55443,                0.37687,                 0.3988,                0.26927,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     72,                 1.1488,                 1.4431,                 1.2622,                0.55133,                0.37993,                0.39911,                0.26925,                    nan,                    nan,                    nan,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.1489,                 1.4404,                 1.2614,                0.54469,                0.38353,                0.39959,                0.26961,                    nan,                    nan,                    nan,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.1482,                 1.4385,                 1.2605,                0.54669,                 0.3854,                0.40041,                0.26999,                    nan,                    nan,                    nan,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.1443,                 1.4323,                 1.2591,                  0.549,                0.38521,                0.40084,                 0.2707,                    nan,                    nan,                    nan,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.1442,                 1.4344,                  1.258,                0.55373,                0.38296,                0.40169,                0.27132,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     77,                 1.1394,                 1.4212,                 1.2564,                0.55555,                0.38252,                0.40222,                0.27144,                    nan,                    nan,                    nan,              0.0084952,              0.0084952,              0.0084952
