                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
22,1.285,0.92281,0.95754,0.4764,0.35794,0.4154,0.21551,1.2089,0.86592,0.92941,0.009307,0.009307,0.009307
23,1.2824,0.91774,0.9563,0.47965,0.35766,0.41825,0.21844,1.2057,0.86716,0.92919,0.009274,0.009274,0.009274
24,1.2705,0.90412,0.95298,0.48732,0.36072,0.421,0.22022,1.1994,0.86068,0.9268,0.009241,0.009241,0.009241
25,1.2645,0.89534,0.95286,0.49528,0.37078,0.42968,0.22595,1.1954,0.86072,0.92662,0.009208,0.009208,0.009208
26,1.2548,0.88639,0.94988,0.4848,0.37895,0.43366,0.22744,1.1889,0.84578,0.92301,0.009175,0.009175,0.009175
27,1.2516,0.88018,0.9478,0.47911,0.3782,0.43292,0.22759,1.1797,0.83792,0.9238,0.009142,0.009142,0.009142
28,1.2506,0.87897,0.94765,0.48419,0.38108,0.43607,0.23225,1.1744,0.83467,0.9217,0.009109,0.009109,0.009109
29,1.2396,0.86501,0.94573,0.50048,0.37935,0.43961,0.23141,1.174,0.83202,0.92057,0.009076,0.009076,0.009076
30,1.2333,0.85895,0.94421,0.50313,0.38539,0.44256,0.23297,1.1749,0.82454,0.92099,0.009043,0.009043,0.009043
31,1.225,0.85139,0.94223,0.50273,0.3728,0.43628,0.23039,1.1799,0.82956,0.92189,0.00901,0.00901,0.00901
32,1.2384,0.8587,0.9454,0.50837,0.38349,0.44877,0.23898,1.1661,0.81911,0.91923,0.008977,0.008977,0.008977
33,1.227,0.84844,0.94323,0.5038,0.38369,0.44969,0.24148,1.1574,0.81598,0.91633,0.008944,0.008944,0.008944
34,1.2173,0.84023,0.93837,0.51302,0.38132,0.45038,0.24166,1.1592,0.8147,0.9172,0.008911,0.008911,0.008911
35,1.2109,0.83814,0.93796,0.51262,0.38786,0.45133,0.24263,1.154,0.80888,0.91608,0.008878,0.008878,0.008878
36,1.2059,0.83042,0.93584,0.52515,0.39362,0.45774,0.24665,1.1495,0.79835,0.91537,0.008845,0.008845,0.008845
37,1.2052,0.82728,0.93594,0.52063,0.39462,0.45839,0.24677,1.1447,0.80027,0.91215,0.008812,0.008812,0.008812
38,1.2032,0.81919,0.93183,0.52559,0.39385,0.4598,0.24859,1.1436,0.79931,0.91096,0.008779,0.008779,0.008779
39,1.1976,0.81812,0.9329,0.53075,0.39893,0.46477,0.25061,1.1387,0.79211,0.91167,0.008746,0.008746,0.008746
40,1.1972,0.81229,0.93078,0.5214,0.3968,0.46003,0.24949,1.1382,0.79393,0.91114,0.008713,0.008713,0.008713
41,1.1888,0.80668,0.93148,0.53313,0.39935,0.46738,0.25313,1.1346,0.78924,0.90948,0.00868,0.00868,0.00868
42,1.1858,0.8047,0.92974,0.52995,0.39846,0.46573,0.25341,1.1321,0.78422,0.90956,0.008647,0.008647,0.008647
43,1.1862,0.80069,0.92776,0.54326,0.40091,0.47032,0.25571,1.1289,0.78421,0.90811,0.008614,0.008614,0.008614
44,1.1809,0.79927,0.92755,0.53627,0.39853,0.47008,0.25435,1.1281,0.78466,0.90887,0.008581,0.008581,0.008581
45,1.1735,0.79145,0.92707,0.52584,0.40519,0.47104,0.25706,1.1246,0.78027,0.90702,0.008548,0.008548,0.008548
46,1.1742,0.79046,0.92669,0.52779,0.40932,0.47348,0.25815,1.1258,0.7806,0.90746,0.008515,0.008515,0.008515
47,1.1733,0.78407,0.92615,0.53381,0.40093,0.47267,0.25701,1.127,0.77604,0.90837,0.008482,0.008482,0.008482
48,1.1616,0.77839,0.92543,0.54257,0.40585,0.47335,0.25772,1.1227,0.77656,0.90717,0.008449,0.008449,0.008449
49,1.1678,0.78095,0.92401,0.54014,0.41488,0.4813,0.2634,1.1146,0.76696,0.90491,0.008416,0.008416,0.008416
50,1.162,0.77397,0.92039,0.54588,0.40553,0.47797,0.2621,1.1174,0.76875,0.90585,0.008383,0.008383,0.008383
51,1.1546,0.76739,0.92159,0.54395,0.40777,0.48234,0.26396,1.1127,0.76352,0.90452,0.00835,0.00835,0.00835
52,1.1581,0.77287,0.92065,0.54534,0.40612,0.48077,0.26422,1.1147,0.76764,0.9042,0.008317,0.008317,0.008317
53,1.1624,0.76612,0.92097,0.53861,0.41449,0.48089,0.26459,1.1118,0.76483,0.9034,0.008284,0.008284,0.008284
54,1.1501,0.7618,0.91865,0.54592,0.41124,0.48337,0.26592,1.1088,0.76136,0.90398,0.008251,0.008251,0.008251
55,1.148,0.75559,0.91897,0.53843,0.41367,0.48287,0.26581,1.1108,0.76341,0.90426,0.008218,0.008218,0.008218
56,1.1443,0.75154,0.92056,0.54127,0.41719,0.48416,0.26571,1.1078,0.75948,0.90276,0.008185,0.008185,0.008185
57,1.1399,0.74998,0.91753,0.55365,0.41713,0.48771,0.26789,1.1073,0.75818,0.90309,0.008152,0.008152,0.008152
58,1.1512,0.75592,0.91894,0.54862,0.42055,0.48941,0.27013,1.105,0.7541,0.90238,0.008119,0.008119,0.008119
59,1.1386,0.74563,0.91767,0.54382,0.41912,0.49072,0.2694,1.104,0.75402,0.90171,0.008086,0.008086,0.008086
60,1.1361,0.74834,0.91601,0.55144,0.42121,0.49195,0.27173,1.0998,0.75207,0.90215,0.008053,0.008053,0.008053
61,1.1383,0.74194,0.91619,0.54316,0.42655,0.49084,0.26949,1.1003,0.75235,0.90204,0.00802,0.00802,0.00802
62,1.126,0.73203,0.91454,0.55219,0.41858,0.48923,0.27032,1.0982,0.75425,0.90087,0.007987,0.007987,0.007987
63,1.1279,0.73046,0.91288,0.55049,0.42739,0.4915,0.2718,1.0969,0.74865,0.90045,0.007954,0.007954,0.007954
64,1.1274,0.73487,0.91461,0.55908,0.42457,0.49317,0.27243,1.0941,0.74975,0.89887,0.007921,0.007921,0.007921
65,1.1256,0.72795,0.91226,0.54811,0.42534,0.49042,0.27177,1.0947,0.7516,0.89963,0.007888,0.007888,0.007888
66,1.1197,0.72463,0.91256,0.54841,0.42527,0.49094,0.27158,1.0939,0.75101,0.90027,0.007855,0.007855,0.007855
67,1.1258,0.72415,0.91458,0.56267,0.42663,0.4931,0.27327,1.0918,0.74818,0.89978,0.007822,0.007822,0.007822
68,1.1232,0.72014,0.91188,0.55856,0.42445,0.49549,0.27367,1.0936,0.74636,0.89952,0.007789,0.007789,0.007789
69,1.116,0.7175,0.91015,0.55701,0.42746,0.49466,0.27416,1.0912,0.74783,0.89866,0.007756,0.007756,0.007756
70,1.1131,0.71412,0.90853,0.56117,0.42579,0.49674,0.27525,1.0892,0.74489,0.89852,0.007723,0.007723,0.007723
71,1.1139,0.71196,0.90808,0.5565,0.42958,0.49723,0.27615,1.0901,0.74355,0.89821,0.00769,0.00769,0.00769
72,1.1104,0.7099,0.90898,0.54698,0.43511,0.49852,0.27598,1.0905,0.74198,0.8982,0.007657,0.007657,0.007657
73,1.106,0.70547,0.90741,0.55403,0.43326,0.49804,0.27511,1.0886,0.74022,0.89768,0.007624,0.007624,0.007624
74,1.1054,0.70184,0.90779,0.56278,0.42755,0.50059,0.27819,1.0887,0.74139,0.89786,0.007591,0.007591,0.007591
75,1.106,0.70215,0.90777,0.55327,0.43384,0.49883,0.27635,1.0892,0.74457,0.89806,0.007558,0.007558,0.007558
76,1.1022,0.69597,0.90539,0.55196,0.43265,0.49887,0.27654,1.087,0.74354,0.8972,0.007525,0.007525,0.007525
77,1.1002,0.69511,0.90567,0.55722,0.4349,0.50007,0.27661,1.0868,0.74232,0.89676,0.007492,0.007492,0.007492
78,1.097,0.68996,0.90828,0.55229,0.4409,0.50103,0.2778,1.0868,0.74218,0.89695,0.007459,0.007459,0.007459
79,1.094,0.68744,0.90541,0.56378,0.43794,0.50193,0.27849,1.0853,0.74025,0.89687,0.007426,0.007426,0.007426
80,1.1022,0.69583,0.90747,0.55816,0.4329,0.5011,0.27789,1.085,0.74004,0.89608,0.007393,0.007393,0.007393
81,1.0983,0.68936,0.9041,0.55679,0.43503,0.50175,0.27751,1.0835,0.73969,0.89508,0.00736,0.00736,0.00736
82,1.0967,0.69211,0.90567,0.55713,0.43697,0.50303,0.27867,1.0813,0.73667,0.89447,0.007327,0.007327,0.007327
83,1.0923,0.68526,0.90252,0.56406,0.43321,0.50282,0.27893,1.082,0.73941,0.89574,0.007294,0.007294,0.007294
84,1.094,0.68299,0.90415,0.55843,0.43518,0.50158,0.27851,1.0826,0.7388,0.89577,0.007261,0.007261,0.007261
85,1.0905,0.68142,0.90506,0.55725,0.43634,0.50466,0.2798,1.0816,0.74021,0.89543,0.007228,0.007228,0.007228
