                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
44,1.3943,1.0592,1.0926,0.53413,0.41371,0.43383,0.26382,1.3155,0.9951,1.0645,0.0089358,0.0089358,0.0089358
45,1.3883,1.0477,1.0895,0.52647,0.42217,0.44189,0.26877,1.3148,0.98595,1.0631,0.008911,0.008911,0.008911
46,1.387,1.0479,1.0885,0.53373,0.42537,0.4414,0.26944,1.3123,0.9859,1.0623,0.0088863,0.0088863,0.0088863
47,1.3803,1.0371,1.0858,0.53579,0.42222,0.44122,0.26925,1.3151,0.98504,1.0629,0.0088615,0.0088615,0.0088615
48,1.3734,1.0351,1.0819,0.52959,0.43208,0.44556,0.27196,1.3104,0.98148,1.0607,0.0088368,0.0088368,0.0088368
49,1.384,1.0396,1.082,0.54032,0.42619,0.44766,0.2724,1.3061,0.97287,1.06,0.008812,0.008812,0.008812
50,1.3817,1.0333,1.0823,0.53725,0.42355,0.44654,0.27216,1.3032,0.97094,1.0584,0.0087872,0.0087872,0.0087872
51,1.3758,1.0279,1.0806,0.542,0.43046,0.44728,0.27278,1.3082,0.96853,1.0591,0.0087625,0.0087625,0.0087625
52,1.3664,1.0246,1.0805,0.54144,0.43484,0.45318,0.27564,1.3064,0.96738,1.0585,0.0087378,0.0087378,0.0087378
53,1.3677,1.0168,1.0768,0.53888,0.43241,0.45315,0.27646,1.3039,0.96435,1.0577,0.008713,0.008713,0.008713
54,1.3708,1.0203,1.0787,0.54987,0.42325,0.45027,0.2753,1.2994,0.96505,1.0553,0.0086882,0.0086882,0.0086882
55,1.3638,1.0162,1.0777,0.55207,0.42772,0.45465,0.27822,1.3,0.9623,1.055,0.0086635,0.0086635,0.0086635
56,1.3629,1.0117,1.0746,0.55077,0.42733,0.4554,0.27798,1.2981,0.95959,1.0544,0.0086388,0.0086388,0.0086388
57,1.3649,1.0043,1.0702,0.53916,0.43819,0.45681,0.28017,1.2941,0.95672,1.0525,0.008614,0.008614,0.008614
58,1.3563,1.0018,1.0754,0.54363,0.43703,0.45863,0.28071,1.2947,0.95475,1.0521,0.0085893,0.0085893,0.0085893
59,1.3553,0.99749,1.0751,0.54296,0.44046,0.4614,0.28172,1.2902,0.94813,1.051,0.0085645,0.0085645,0.0085645
60,1.3543,0.99843,1.07,0.54356,0.44119,0.45988,0.28157,1.2916,0.95035,1.0508,0.0085398,0.0085398,0.0085398
61,1.3529,0.9993,1.0675,0.5495,0.43669,0.45902,0.28182,1.2912,0.95006,1.0507,0.008515,0.008515,0.008515
62,1.3477,0.99339,1.0722,0.55305,0.44067,0.46267,0.28263,1.2902,0.94751,1.0512,0.0084903,0.0084903,0.0084903
63,1.352,0.99047,1.0686,0.5599,0.4371,0.4634,0.28447,1.2884,0.94659,1.0498,0.0084655,0.0084655,0.0084655
64,1.347,0.99034,1.066,0.54193,0.45092,0.46516,0.28428,1.2909,0.94378,1.0498,0.0084408,0.0084408,0.0084408
65,1.3342,0.97413,1.0639,0.55973,0.4435,0.46595,0.28507,1.2856,0.93966,1.0487,0.008416,0.008416,0.008416
66,1.3414,0.98271,1.0634,0.56163,0.4437,0.46825,0.28788,1.2849,0.93786,1.0474,0.0083913,0.0083913,0.0083913
67,1.3433,0.97956,1.0608,0.56116,0.4429,0.46845,0.28854,1.2831,0.93654,1.0455,0.0083665,0.0083665,0.0083665
68,1.3381,0.97775,1.0639,0.54636,0.44738,0.47001,0.28874,1.2845,0.93513,1.0472,0.0083418,0.0083418,0.0083418
69,1.3367,0.97343,1.0632,0.55847,0.44644,0.47034,0.28886,1.2828,0.93503,1.0463,0.008317,0.008317,0.008317
70,1.3352,0.97067,1.0594,0.56278,0.4484,0.471,0.28937,1.284,0.9321,1.0464,0.0082922,0.0082922,0.0082922
71,1.335,0.96476,1.0596,0.56426,0.44965,0.47048,0.28943,1.2812,0.93234,1.0449,0.0082675,0.0082675,0.0082675
72,1.3347,0.96776,1.0588,0.56747,0.44662,0.47402,0.29246,1.2766,0.92819,1.0432,0.0082428,0.0082428,0.0082428
73,1.3318,0.96442,1.0583,0.56015,0.45147,0.47381,0.29169,1.2772,0.92693,1.0426,0.008218,0.008218,0.008218
74,1.332,0.95995,1.0569,0.56271,0.45353,0.47476,0.29216,1.2783,0.92736,1.0427,0.0081932,0.0081932,0.0081932
75,1.3297,0.96277,1.0592,0.56593,0.45123,0.47534,0.2927,1.2747,0.92222,1.0421,0.0081685,0.0081685,0.0081685
